iter	Passed	Remaining
0	1	1636
1	2	1412
2	4	1369
3	5	1303
4	6	1284
5	7	1283
6	8	1237
7	9	1223
8	10	1181
9	11	1164
10	13	1187
11	13	1145
12	14	1112
13	15	1098
14	16	1079
15	17	1053
16	17	1030
17	18	1015
18	19	996
19	19	979
20	20	964
21	21	956
22	22	949
23	23	936
24	23	925
25	24	916
26	25	911
27	26	924
28	27	912
29	27	902
30	28	902
31	29	891
32	30	882
33	30	875
34	31	865
35	32	860
36	32	854
37	33	852
38	34	845
39	34	837
40	35	831
41	36	823
42	36	817
43	37	812
44	38	807
45	38	803
46	39	800
47	40	805
48	41	803
49	42	798
50	42	795
51	43	792
52	44	801
53	45	799
54	46	795
55	46	791
56	47	787
57	48	785
58	49	781
59	49	780
60	50	775
61	51	774
62	51	770
63	52	767
64	53	763
65	53	761
66	54	758
67	55	762
68	56	761
69	57	758
70	57	756
71	58	753
72	59	750
73	59	748
74	60	745
75	61	743
76	61	739
77	62	737
78	62	733
79	63	731
80	64	728
81	64	725
82	65	721
83	65	718
84	66	716
85	67	715
86	68	713
87	68	711
88	69	713
89	70	712
90	71	709
91	71	707
92	72	704
93	72	703
94	73	702
95	74	700
96	75	698
97	75	695
98	76	692
99	76	690
100	77	688
101	78	686
102	78	684
103	79	683
104	79	680
105	80	679
106	81	678
107	82	677
108	82	676
109	83	675
110	84	678
111	85	677
112	86	676
113	87	677
114	87	676
115	88	674
116	89	672
117	89	671
118	90	669
119	91	667
120	91	665
121	92	663
122	92	661
123	93	659
124	93	657
125	94	656
126	95	654
127	95	653
128	96	652
129	97	652
130	98	653
131	99	656
132	100	655
133	101	654
134	101	653
135	102	651
136	103	649
137	103	648
138	104	647
139	105	646
140	105	644
141	106	642
142	106	640
143	107	638
144	108	636
145	108	635
146	109	634
147	109	633
148	110	631
149	111	630
150	112	630
151	113	631
152	113	630
153	114	629
154	115	628
155	115	627
156	116	626
157	117	624
158	117	623
159	118	621
160	118	619
161	119	618
162	120	616
163	120	615
164	121	614
165	121	612
166	122	611
167	123	610
168	123	608
169	124	607
170	125	606
171	126	607
172	126	606
173	128	607
174	128	606
175	129	605
176	130	604
177	130	603
178	131	602
179	131	600
180	132	599
181	133	597
182	133	596
183	134	595
184	134	593
185	135	592
186	135	590
187	136	589
188	137	588
189	137	587
190	138	586
191	139	585
192	139	584
193	140	583
194	141	582
195	141	581
196	142	582
197	143	581
198	144	580
199	144	579
200	145	578
201	146	577
202	146	576
203	147	575
204	148	574
205	148	572
206	149	571
207	149	570
208	150	569
209	151	568
210	151	567
211	152	566
212	153	565
213	153	564
214	154	563
215	155	563
216	156	563
217	156	562
218	157	561
219	158	560
220	158	559
221	159	558
222	160	557
223	160	556
224	161	555
225	161	554
226	162	553
227	163	552
228	163	551
229	164	551
230	165	551
231	166	550
232	166	549
233	167	548
234	168	548
235	169	547
236	169	546
237	170	547
238	171	546
239	172	545
240	172	544
241	173	543
242	173	542
243	174	540
244	175	539
245	175	538
246	176	537
247	177	536
248	177	535
249	178	535
250	178	533
251	179	533
252	180	533
253	181	532
254	181	531
255	182	530
256	183	530
257	184	530
258	185	529
259	185	528
260	186	528
261	187	527
262	187	526
263	188	525
264	189	524
265	189	523
266	190	522
267	190	521
268	191	520
269	192	519
270	192	519
271	193	518
272	194	518
273	195	518
274	196	518
275	197	517
276	198	517
277	199	518
278	200	517
279	201	517
280	201	516
281	202	515
282	203	514
283	203	514
284	204	513
285	205	512
286	205	511
287	206	510
288	207	509
289	207	508
290	208	507
291	209	507
292	210	507
293	210	506
294	211	505
295	212	504
296	213	504
297	214	504
298	214	503
299	215	502
300	216	501
301	216	500
302	217	499
303	217	498
304	218	498
305	219	497
306	219	496
307	220	495
308	221	494
309	221	493
310	222	492
311	223	491
312	224	492
313	224	491
314	225	490
315	226	490
316	227	490
317	228	489
318	229	488
319	229	488
320	230	487
321	231	486
322	231	485
323	232	484
324	233	484
325	233	483
326	234	482
327	235	481
328	235	480
329	236	479
330	236	478
331	237	478
332	238	477
333	238	476
334	239	475
335	240	474
336	240	473
337	241	473
338	242	472
339	243	472
340	244	472
341	245	471
342	245	471
343	246	470
344	247	469
345	247	468
346	248	467
347	249	466
348	249	465
349	250	465
350	251	464
351	251	463
352	252	462
353	253	461
354	253	461
355	254	460
356	255	460
357	256	459
358	256	458
359	257	458
360	258	457
361	258	456
362	259	455
363	260	454
364	261	454
365	261	453
366	262	452
367	263	451
368	263	451
369	264	450
370	265	449
371	265	448
372	266	448
373	267	447
374	268	446
375	268	446
376	269	445
377	270	444
378	270	443
379	271	442
380	272	442
381	272	441
382	273	440
383	274	439
384	274	439
385	275	438
386	276	437
387	276	436
388	277	436
389	278	435
390	279	434
391	279	433
392	280	433
393	281	432
394	282	432
395	282	431
396	283	430
397	284	430
398	285	429
399	285	428
400	286	427
401	287	427
402	287	426
403	288	425
404	289	424
405	289	423
406	290	423
407	290	422
408	291	421
409	292	420
410	292	419
411	293	419
412	294	418
413	294	417
414	295	416
415	296	416
416	297	415
417	297	414
418	298	414
419	299	413
420	299	412
421	300	412
422	301	411
423	302	410
424	303	410
425	303	409
426	304	408
427	305	407
428	306	407
429	306	406
430	307	405
431	308	404
432	308	404
433	309	403
434	310	402
435	310	402
436	311	401
437	313	401
438	313	401
439	314	400
440	315	399
441	316	399
442	316	398
443	317	397
444	318	396
445	318	396
446	319	395
447	320	394
448	321	394
449	321	393
450	322	392
451	323	391
452	324	391
453	324	390
454	325	390
455	326	389
456	327	388
457	328	388
458	330	388
459	330	388
460	331	387
461	332	386
462	332	386
463	333	385
464	334	384
465	335	384
466	335	383
467	336	382
468	337	381
469	338	381
470	338	380
471	339	380
472	340	379
473	341	378
474	342	378
475	342	377
476	343	376
477	344	376
478	345	375
479	346	375
480	347	374
481	348	374
482	349	373
483	349	373
